CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welches Tier findet Rotkäppchen im Bett ihrer Grossmutter?,Hund,Wolf,Löwe,Bär,B,(NULL),zZbCA1619520330000.jpg,,,1,54269,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,"Wie heißt die Stadt, die im Film Shrek von Lord Farquaad regiert wird?",Conques,Toontown,Nimmerland,Duloc,D,(NULL),zvsN31619471061908.jpg,(NULL),(NULL),1,54369,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Wer ist Harrys Pate in Harry Potter und der Gefangene von Askaban?,Hagrid,Snape,Sirius Black,Dumbledore,C,(NULL),0temu1619471480260.jpg,(NULL),(NULL),1,54381,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wie heißt Marvels erster Afro-Latino-Spiderman?,Peter Parker,Miles Morales,Nick Parker,Nick Morales,B,(NULL),ldRaI1619471969394.jpg,(NULL),(NULL),1,54394,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,"Wie heißt der Geist, auf den Harry und seine Freunde in Harry Potter und die Kammer des Schreckens stoßen?",Verwüsteter Dion,Weinende Christine,Stöhnende Myrte,Blubber Barbara,C,(NULL),2ltnu1619472118551.jpg,(NULL),(NULL),1,54402,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wie heißt Lilos ältere Schwester in Disneys Lilo and Stitch?,Yuna,Nani,Mertle,Gantu,B,(NULL),pRwb41619472243048.jpg,(NULL),(NULL),1,54410,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR,ADULT",Deutschland,30,Welches Tier führt Coraline in der Verfilmung von Neil Gaimans Coraline 2009 durch die andere Welt?,Eine Katze,Ein Kaninchen,Eine Maus,Ein Hund,A,(NULL),4OGsZ1619472387167.jpg,(NULL),(NULL),1,54418,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Wer hat die obigen Worte gesagt?,Rubeus Hagrid,Professor Severus Snape,Professorin Minerva McGonagall,Albus Dumbledore,D,(NULL),PLIao1610907441568.jpg,(NULL),(NULL),1,54430,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Diese beiden Schauspieler spielen ihre Rollen von 1984 erneut in welcher Netflix-Serie von 2018?,Karate Guys,The Warrior,Kobra Kai,Iron Fist,C,(NULL),vDTt81610905133421.jpg,(NULL),(NULL),1,54442,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,15,Mit welchem ??Filmserie würdest du dieses Fahrzeug in Verbindung bringen?,The Fast and the Furious,Need for Speed,Cars,Transformer,D,(NULL),za4Us1610897564287.jpg,(NULL),(NULL),4,54454,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,In welchem ??Star Wars-Film stirbt Yoda?,Das Imperium schlägt zurück,Die Rückkehr des Jedi,Die dunkle Bedrohung,Der Aufstieg Skywalkers,B,(NULL),lqXYw1610896543373.jpg,(NULL),(NULL),1,54466,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,"Wie heisst dieses vierbeinige Transport- und Kampffahrzeug, das von den imperialen Bodentruppen in Star Wars verwendet wird?",AT-AT-Walker,Dark Side Ranger,Jedi-Transporter,Empire Vulcan,A,(NULL),jlge21610895490068.jpg,(NULL),(NULL),1,54478,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,In welcher italienischen Stadt spielt Shakespeares Stück "Romeo und Julia"?,Verona,Mailand,Venedig,Rom,A,(NULL),QC002179.jpg,,,1,54490,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,"Wie heißt die böse Frau, die in ""Die 101 Dalmatiner"" einen Mantel aus Dalmatinerfell nähen will?",Cruella de Vil,Malefiz,Böse Ursula,Die Königin der Dunkelheit,A,(NULL),XUvKU1619521150847.jpg,,,1,54494,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie viele Zauberbohnen hat Jack in "Jack and The Beanstalk" gegen die Familienkuh eingetauscht?,10,15,20,5,D,(NULL),BhJmO1619521400047.jpg,,,1,54502,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wer holt die Grossmutter in "Rotkäppchen" aus dem Wolfsmagen?,Der Grossvater,Rotkäppchen,Die Polizei,Der Holzfäller,D,(NULL),B8eCs1619521782236.jpg,,,1,54506,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wie viele Tage brauchte die Müllerstochter, um den Namen Rumpelstilzchen herauszufinden?",3,2,1,4,A,(NULL),TewMx1619521925279.jpg,,,1,54510,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wer hat "Alice im Wunderland" geschrieben?,Julia Donaldson,Lewis Carroll,Frances Hodgson Burnett,Edith Nesbitt,B,(NULL),um7z71619522178962.jpg,,,1,54514,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Für was für ein Tier hielt  sich "Das hässliche Entlein" in dem Märchen ?,Truthahn,Strauß,Huhn,Gans,A,(NULL),v4hF81619522319289.jpg,,,1,54518,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Woraus machte die gute Fee Cinderellas Kutsche?,Kürbis,Orange,Apfel,Melone,A,(NULL),Y9GZq1619522619014.jpg,,,1,54522,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt das kleine Mädchen in "Die Katze im Hut"?,Sally,Katherine,Hannah,Alice,A,(NULL),ruodG1619522740405.jpg,,,1,54526,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welches Tier ist Balu aus dem Dschungelbuch?,Ein Tiger,Ein Panther,Eine Schlange,Ein Bär,D,(NULL),UW1rQ1619523217296.jpg,,,1,54530,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wer schrieb die Harry-Potter-Reihe?,C.S. Lewis,Jaqueline Wilson,JK Rowling,Malorie Blackman,C,(NULL),GE8w31619523549889.jpg,,,1,54534,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Was war Däumelinchens Lieblingsgeschenk von den Lords und Ladies?,Schönheit,Ein Lied,Geld,Flügel,D,(NULL),xhpuo1619523734635.jpg,,,1,54538,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wer schrieb das Kinderbuch "Charlie und die Schokoladenfabrik" aus dem Jahr 1964?,Roald Dahl,Enid Blyton,Shel Silverstein,Dr. Seuss,A,(NULL),IBwdc1619524021777.jpg,,,1,54542,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt die Fee in "Peter Pan"?,Tinker Bell,Tailor Bell,Glitter Bell,Mini Bell,A,(NULL),C3Eph1619524250293.jpg,,,1,54546,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wer ging in einem Kinderlied einen Hügel hinauf, um einen Eimer Wasser zu holen?",Jack und Jill,Bill und Beatrix,Simon und Sara,Will und Sandra,A,(NULL),3RElh1619524536678.jpg,,,1,54550,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt Harry Potters bester Freund in der Buch- und Filmreihe?,Albus Dumbledore,Draco Malfoy,Sirius Black,Ron Weasley,D,(NULL),AVlMF1619525338505.jpg,,,1,54554,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,Wie viele Jahre schlief Dornröschen?,100,90,99,70,A,(NULL),ZFmp41619525380330.jpg,,,1,54558,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,"Vervollständige das Alice im Wunderland-Zitat: ""Ja, das ist es! Sagte der Hutmacher mit einem Seufzer, es ist immer _________"" ?",Teezeit,Mittagessenszeit,Frühstückszeit,Bettzeit,A,(NULL),yEQFW1619525530077.jpg,,,1,54566,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"""Alle Kinder, außer einem, werden erwachsen."" ist die Anfangszeile aus welchem ??Buch?",Peter Pan,Harry Potter und der Stein der Weisen,Der Zauberer von Oz,Charlottes Web,A,(NULL),zuf7M1619525791833.jpg,,,1,54574,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Auf welchem ??Märchen basiert der Film 'Frozen'?,Die Schneekönigin,Dornröschen,Das kleine Streichholzmädchen,Aschenputtel,A,(NULL),nSi2R1619526088790.jpg,,,1,54578,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Auf wie vielen Matratzen schlief "Die Prinzessin auf der Erbse"?,20,fünfzehn15,10,5,A,(NULL),LTGhK1619526725178.jpg,,,1,54582,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt der Schneemann in dem Film "Frozen"?,Frolaf,Snowlaf,Olaf,Brolaf,C,(NULL),STCek1619550029578.jpg,,,1,56058,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,"Wie heißt die Stadt, in der die Flintstones leben?",Dinotown,Bedrock,Flintstown,Gravelstone,B,(NULL),Bvwpe1619550230245.jpg,,,1,56094,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Aus welchem ??Buch/Film stammen die Charaktere Tweedledum und Tweedledee?,Alice im Wunderland,Die Spiderwick-Chroniken,Into the Woods,Der König von Narnia,A,(NULL),2b7n71619550791311.jpg,,,1,56107,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,Worüber macht sich das weiße Kaninchen in "Alice im Wunderland" grosse Sorgen?,Dass es etwas Wichtiges vergessen hat,Dass es stolpert und fällt,Dass es zu spät kommt,Dass die Leute es nicht leiden können,C,(NULL),mqS141619550939311.jpg,,,1,56111,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,Welches ist das letzte Buch der 'Harry Potter'-Reihe von JK Rowling?,Harry Potter und der Orden des Phönix,Harry Potter und der Feuerkelch,Harry Potter und das verfluchte Kind,Harry Potter und die Heiligtümer des Todes,D,(NULL),QC00565.jpg,,,1,56121,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Von welchem ??Krieg handelt das Buch und der Film "War Horse" von Michael Morpurgo?,Vom ersten Weltkrieg,Vom Bürgerkrieg,Vom Zweiten Weltkrieg,Vom Spanischen Krieg,A,(NULL),6RL6B1619551268433.jpg,,,1,56129,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,"Wie heißen in einem Buch von Mary Norton die winzigen Menschen, die unter Dielen leben und sich von den Menschen Dinge ausleihen?",Die Mopser,Die Diebe,Die Borgmännchen,Die Trensen,C,(NULL),4HEqN1619551683400.jpg,,,1,56133,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wie heißt der Pirat, den Jim Hawkins in dem Buch ""Treasure Island"" von Robert Louis Stevenson besiegen muss?",Long John Silver,Billy Buckle Swash,Mike Federschwert,Old Man Mug,A,(NULL),QC00562.jpg,,,1,56141,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"""Wir werden für immer Freunde sein, nicht wahr Pooh?"" wurde von welcher Figur gesagt?",Eeyore,Christopher Robin,Tiger,Ferkel,D,(NULL),WoJBA1619553431834.jpg,,,1,56145,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Aus wie vielen Bücher besteht die Harry-Potter-Reihe?,7,2,9,5,A,(NULL),tF1qI1619553474522.jpg,,,1,56149,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie kam der Wolf in der Geschichte "Die 3 kleinen Schweinchen" in das Backsteinhaus?,Den Schornstein runter,Durch die Vordertür,Mit einem Vorschlaghammer,Durch das Fenster,A,(NULL),AIX8Z1619553675367.jpg,,,1,56157,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wer verlangt mit der Zeile ""Bitte Sir, ich will noch mehr?"" nach mehr Essen?",Jack Dawkins,Oliver Twist,Bill Sykes,Mister Bumble,B,(NULL),hpvLy1619553871923.jpg,,,1,56161,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,Wie lautet der Nachname der Familie in 'Mary Poppins'?,Banks,Matthews,Smith,Richardson,A,(NULL),q68MC1619554066868.jpg,,,1,56189,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welche Prinzessin hat wirklich sehr lange Haare?,Rapunzel,Aurora,Aschenputtel,Tiana,A,(NULL),1FuZ31619554481314.jpg,,,1,56257,0,,1,1,,,,
